Book,Chapter,RefID,Character
ASOS,12,ASOS12,Jaime
ASOS,13,ASOS13,Tyrion
ASOS,14,ASOS14,Arya
ASOS,15,ASOS15,Catelyn
ASOS,16,ASOS16,Jon
ASOS,17,ASOS17,Sansa
ASOS,18,ASOS18,Arya
ASOS,19,ASOS19,Samwell
ASOS,20,ASOS20,Tyrion
ASOS,21,ASOS21,Catelyn
ASOS,22,ASOS22,Jaime
ASOS,23,ASOS23,Arya
ASOS,24,ASOS24,Daenerys
ASOS,25,ASOS25,Bran
ASOS,26,ASOS26,Davos
ASOS,27,ASOS27,Jon
ASOS,28,ASOS28,Daenerys
ASOS,29,ASOS29,Sansa
ASOS,30,ASOS30,Arya
ASOS,31,ASOS31,Jon
ASOS,32,ASOS32,Jaime
ASOS,33,ASOS33,Tyrion
ASOS,34,ASOS34,Samwell
ASOS,35,ASOS35,Arya
ASOS,36,ASOS36,Catelyn
ASOS,37,ASOS37,Davos
ASOS,38,ASOS38,Jaime
ASOS,39,ASOS39,Tyrion
ASOS,40,ASOS40,Arya
ASOS,41,ASOS41,Bran
ASOS,42,ASOS42,Jon
ASOS,43,ASOS43,Daenerys
ASOS,44,ASOS44,Arya
ASOS,45,ASOS45,Jaime
ASOS,46,ASOS46,Catelyn
ASOS,47,ASOS47,Samwell
ASOS,48,ASOS48,Arya
ASOS,49,ASOS49,Jon
ASOS,50,ASOS50,Catelyn
ASOS,51,ASOS51,Arya
ASOS,52,ASOS52,Catelyn
ASOS,53,ASOS53,Arya
ASOS,54,ASOS54,Tyrion
ASOS,55,ASOS55,Davos
ASOS,56,ASOS56,Jon
ASOS,57,ASOS57,Bran
ASOS,58,ASOS58,Daenerys
ASOS,59,ASOS59,Tyrion
ASOS,60,ASOS60,Sansa
ASOS,61,ASOS61,Tyrion
ASOS,62,ASOS62,Sansa
ASOS,63,ASOS63,Jaime
ASOS,64,ASOS64,Davos
ASOS,65,ASOS65,Jon
ASOS,66,ASOS66,Arya
ASOS,67,ASOS67,Tyrion
ASOS,68,ASOS68,Jaime
ASOS,69,ASOS69,Sansa
ASOS,70,ASOS70,Jon
ASOS,71,ASOS71,Tyrion
ASOS,72,ASOS72,Daenerys
ASOS,73,ASOS73,Jaime
ASOS,74,ASOS74,Jon
ASOS,75,ASOS75,Arya
ASOS,76,ASOS76,Samwell
ASOS,77,ASOS77,Jon
ASOS,78,ASOS78,Tyrion
ASOS,79,ASOS79,Samwell
ASOS,80,ASOS80,Jon
ASOS,81,ASOS81,Sansa
ASOS,82,ASOS82,Merrett
AFFC,1,AFFC1,Pate
AFFC,2,AFFC2,Aeron
AFFC,3,AFFC3,Areo
AFFC,4,AFFC4,Cersei
AFFC,5,AFFC5,Brienne
AFFC,6,AFFC6,Samwell
AFFC,7,AFFC7,Arya
AFFC,8,AFFC8,Cersei
AFFC,9,AFFC9,Jaime
AFFC,10,AFFC10,Brienne
AFFC,11,AFFC11,Sansa
AFFC,12,AFFC12,Asha
AFFC,13,AFFC13,Cersei
AFFC,14,AFFC14,Arys
AFFC,15,AFFC15,Brienne
AFFC,16,AFFC16,Samwell
AFFC,17,AFFC17,Jaime
AFFC,18,AFFC18,Cersei
AFFC,19,AFFC19,Victarion
AFFC,20,AFFC20,Aeron
AFFC,21,AFFC21,Brienne
AFFC,22,AFFC22,Arianne
AFFC,23,AFFC23,Arya
AFFC,24,AFFC24,Sansa
AFFC,25,AFFC25,Cersei
AFFC,26,AFFC26,Brienne
AFFC,27,AFFC27,Samwell
AFFC,28,AFFC28,Jaime
AFFC,29,AFFC29,Cersei
AFFC,30,AFFC30,Victarion
AFFC,31,AFFC31,Jaime
AFFC,32,AFFC32,Brienne
AFFC,33,AFFC33,Cersei
AFFC,34,AFFC34,Jaime
AFFC,35,AFFC35,Arya
AFFC,36,AFFC36,Samwell
AFFC,37,AFFC37,Cersei
AFFC,38,AFFC38,Brienne
AFFC,39,AFFC39,Jaime
AFFC,40,AFFC40,Cersei
AFFC,41,AFFC41,Arianne
AFFC,42,AFFC42,Sansa
AFFC,43,AFFC43,Brienne
AFFC,44,AFFC44,Cersei
AFFC,45,AFFC45,Jaime
AFFC,46,AFFC46,Samwell
ADWD,1,ADWD1,Varamyr
ADWD,2,ADWD2,Tyrion
ADWD,3,ADWD3,Daenerys
ADWD,4,ADWD4,Jon
ADWD,5,ADWD5,Bran
ADWD,6,ADWD6,Tyrion
ADWD,7,ADWD7,Quentyn
ADWD,8,ADWD8,Jon
ADWD,9,ADWD9,Tyrion
ADWD,10,ADWD10,Davos
ADWD,11,ADWD11,Jon
ADWD,12,ADWD12,Daenerys
ADWD,13,ADWD13,Theon
ADWD,14,ADWD14,Bran
ADWD,15,ADWD15,Tyrion
ADWD,16,ADWD16,Davos
ADWD,17,ADWD17,Daenerys
ADWD,18,ADWD18,Jon
ADWD,19,ADWD19,Tyrion
ADWD,20,ADWD20,Davos
ADWD,21,ADWD21,Theon
ADWD,22,ADWD22,Jon
ADWD,23,ADWD23,Tyrion
ADWD,24,ADWD24,Daenerys
ADWD,25,ADWD25,Connington
ADWD,26,ADWD26,Quentyn
ADWD,27,ADWD27,Asha
ADWD,28,ADWD28,Tyrion
ADWD,29,ADWD29,Jon
ADWD,30,ADWD30,Davos
ADWD,31,ADWD31,Daenerys
ADWD,32,ADWD32,Melisandre
ADWD,33,ADWD33,Theon
ADWD,34,ADWD34,Tyrion
ADWD,35,ADWD35,Bran
ADWD,36,ADWD36,Jon
ADWD,37,ADWD37,Daenerys
ADWD,38,ADWD38,Theon
ADWD,39,ADWD39,Areo
ADWD,40,ADWD40,Jon
ADWD,41,ADWD41,Tyrion
ADWD,42,ADWD42,Theon
ADWD,43,ADWD43,Asha
ADWD,44,ADWD44,Daenerys
ADWD,45,ADWD45,Jon
ADWD,46,ADWD46,Arya
ADWD,47,ADWD47,Theon
ADWD,48,ADWD48,Tyrion
ADWD,49,ADWD49,Jaime
ADWD,50,ADWD50,Jon
ADWD,51,ADWD51,Daenerys
