ADWD,1
AFFC,1
AFFC,2
AFFC,3
AFFC,4
ADWD,2
ADWD,3
AFFC,5
ADWD,4
ADWD,5
ADWD,6
ADWD,7
AFFC,6
ADWD,8
AFFC,7
AFFC,8
AFFC,9
AFFC,10
AFFC,11
AFFC,12
ADWD,9
ADWD,10
ADWD,11
ADWD,12
ADWD,13
AFFC,13
AFFC,14
ADWD,14
ADWD,15
ADWD,16
AFFC,15
AFFC,16
ADWD,17
ADWD,18
AFFC,17
ADWD,19
AFFC,18
ADWD,20
AFFC,19
AFFC,20
AFFC,21
AFFC,22
AFFC,23
AFFC,24
AFFC,25
ADWD,21
ADWD,22
ADWD,23
ADWD,24
ADWD,25
ADWD,26
ADWD,27
AFFC,26
AFFC,27
AFFC,28
ADWD,28
ADWD,29
ADWD,30
AFFC,29
AFFC,30
ADWD,31
ADWD,32
AFFC,31
AFFC,32
ADWD,33
ADWD,34
AFFC,33
AFFC,34
AFFC,35
AFFC,36
AFFC,37
AFFC,38
AFFC,39
AFFC,40
AFFC,41
ADWD,35
ADWD,36
ADWD,37
ADWD,38
ADWD,39
ADWD,40
ADWD,41
ADWD,42
ADWD,43
ADWD,44
AFFC,42
ADWD,45
AFFC,43
AFFC,44
AFFC,45
AFFC,46
ADWD,46
ADWD,47
ADWD,48
ADWD,49
ADWD,50
ADWD,51
ADWD,52
ADWD,53
ADWD,54
ADWD,55
ADWD,56
ADWD,57
ADWD,58
ADWD,59
ADWD,60
ADWD,61
ADWD,62
ADWD,63
ADWD,64
ADWD,65
ADWD,66
ADWD,67
ADWD,68
ADWD,69
ADWD,70
ADWD,71
ADWD,72
ADWD,73
