Book,Chapter,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
ACOK,11,1,0,0,0,0,0,4,13,17,15,50,436,8.72
ACOK,12,2,0,0,0,0,1,4,21,10,12,50,414,8.28
ACOK,13,2,0,0,0,3,7,8,16,5,6,47,348,7.404255319
ACOK,14,4,0,2,2,5,9,9,10,2,6,49,318,6.489795918
ACOK,15,2,0,0,0,0,2,5,5,15,21,50,434,8.68
ACOK,16,1,0,0,0,1,0,7,10,14,10,43,361,8.395348837
ACOK,17,2,0,1,1,2,7,4,15,5,6,43,314,7.302325581
ACOK,18,1,0,1,0,0,0,3,5,17,16,43,378,8.790697674
ACOK,19,2,1,0,0,4,1,12,8,6,9,43,322,7.488372093
ACOK,20,2,0,1,0,1,4,8,11,9,11,47,369,7.85106383
ACOK,21,1,0,0,0,1,0,6,12,15,9,44,369,8.386363636
ACOK,22,2,0,0,0,1,6,7,14,10,5,45,344,7.644444444
ACOK,23,0,0,2,1,0,1,8,7,16,11,46,382,8.304347826
ACOK,24,4,0,0,0,4,6,10,8,6,6,44,308,7
ACOK,25,2,0,0,0,1,2,3,12,16,10,46,380,8.260869565
ACOK,26,2,0,0,0,0,0,3,10,13,18,46,400,8.695652174
ACOK,27,2,1,0,1,0,4,6,12,10,9,45,350,7.777777778
ACOK,28,2,0,0,2,1,5,11,11,3,8,43,317,7.372093023
ACOK,29,2,0,0,0,2,3,14,10,5,8,44,333,7.568181818
ACOK,30,2,1,0,0,1,2,5,16,10,9,46,364,7.913043478
ACOK,31,3,0,0,0,0,0,7,12,10,10,42,338,8.047619048
ACOK,32,2,0,1,0,1,1,3,12,10,13,43,353,8.209302326
ACOK,33,2,0,0,0,0,1,11,12,8,8,42,333,7.928571429
ACOK,34,1,0,0,0,1,3,4,6,7,19,41,353,8.609756098
ACOK,35,1,2,0,2,6,5,9,6,1,8,40,273,6.825
ACOK,36,1,0,0,1,2,2,7,12,8,8,41,324,7.902439024
ACOK,37,1,0,1,0,0,0,11,10,10,8,41,331,8.073170732
ACOK,38,1,0,1,1,0,2,10,9,7,9,40,315,7.875
ACOK,39,2,0,0,1,2,3,6,11,5,9,39,299,7.666666667
ACOK,40,2,1,0,0,2,6,5,6,8,9,39,295,7.564102564
ACOK,41,2,1,0,0,6,7,9,8,2,7,42,291,6.928571429
ACOK,42,1,0,2,0,2,1,3,11,9,15,44,363,8.25
ACOK,43,1,0,0,0,0,1,3,8,12,25,50,450,9
ACOK,44,3,0,0,1,2,8,8,6,5,8,41,294,7.170731707
ACOK,45,1,0,2,1,0,3,10,11,9,8,45,348,7.733333333
ACOK,46,4,2,0,0,2,7,7,9,6,8,45,315,7
ACOK,47,1,0,1,1,1,2,6,12,10,11,45,363,8.066666667
ACOK,48,3,0,1,0,2,0,3,1,20,20,50,425,8.5
ACOK,49,1,0,1,0,0,1,3,4,7,41,58,536,9.24137931
ACOK,50,1,0,1,0,0,4,7,10,5,13,41,332,8.097560976
ACOK,51,6,0,0,0,3,2,6,11,6,6,40,277,6.925
ACOK,52,4,0,2,1,1,5,5,6,10,9,43,312,7.255813953
ACOK,53,8,2,0,2,1,7,4,9,4,5,42,253,6.023809524
ACOK,54,4,0,0,0,3,4,9,7,6,10,43,316,7.348837209
ACOK,55,5,1,1,1,1,1,9,10,5,11,45,323,7.177777778
ACOK,56,3,1,1,1,1,3,2,7,9,10,38,286,7.526315789
ACOK,57,6,0,0,1,3,2,4,11,2,6,35,231,6.6
ACOK,58,8,0,1,2,4,4,7,6,1,5,38,219,5.763157895
ACOK,59,4,1,0,0,0,0,2,11,9,12,39,309,7.923076923
ACOK,60,4,1,0,0,1,0,3,9,8,11,37,286,7.72972973
ACOK,61,9,0,0,0,2,5,10,8,6,10,50,337,6.74
ACOK,62,4,1,1,0,1,1,5,10,12,16,51,403,7.901960784
ACOK,63,8,3,0,0,2,4,7,9,7,8,48,312,6.5
ACOK,64,3,1,1,0,1,6,6,7,7,14,46,350,7.608695652
ACOK,65,7,1,1,0,2,3,8,9,9,12,52,369,7.096153846
ACOK,66,4,1,0,0,2,3,9,8,6,11,44,325,7.386363636
ACOK,67,1,0,0,0,2,1,6,6,18,12,46,389,8.456521739
ACOK,68,0,1,0,2,4,7,8,11,6,6,45,330,7.333333333
ACOK,69,2,0,2,0,1,1,4,4,7,28,49,422,8.612244898
ACOK,70,4,1,0,0,0,1,4,6,13,16,45,365,8.111111111
ASOS,1,0,1,0,4,2,2,8,19,15,13,64,513,8.015625
ASOS,2,3,0,1,0,2,3,14,16,14,9,62,476,7.677419355
ASOS,3,0,0,1,3,12,14,20,9,1,6,66,440,6.666666667
ASOS,4,2,4,1,1,2,13,19,14,6,8,70,484,6.914285714
ASOS,5,1,0,0,0,2,4,13,24,15,10,69,553,8.014492754
ASOS,6,1,0,1,4,4,8,16,20,3,9,66,477,7.227272727
ASOS,7,2,0,3,1,1,4,13,20,12,14,70,543,7.757142857
ASOS,8,3,1,0,1,0,3,10,21,16,15,70,559,7.985714286
ASOS,9,0,0,1,1,2,4,13,21,9,9,60,471,7.85
ASOS,10,1,0,1,2,5,9,15,16,3,9,61,441,7.229508197
ASOS,11,0,1,1,0,3,3,12,22,8,9,59,460,7.796610169
ASOS,12,2,1,1,2,1,3,9,14,13,10,56,430,7.678571429
ASOS,13,6,0,0,2,2,13,18,4,1,6,52,329,6.326923077
ASOS,14,0,1,0,0,3,4,10,21,7,6,52,402,7.730769231
