Book,Chapter,RefID,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
ASOS,8,ASOS8,3,1,0,1,0,3,10,21,16,15,70,559,7.985714286
ASOS,9,ASOS9,0,0,1,1,2,4,13,21,9,9,60,471,7.85
ASOS,10,ASOS10,1,0,1,2,5,9,15,16,3,9,61,441,7.229508197
ASOS,11,ASOS11,0,1,1,0,3,3,12,22,8,9,59,460,7.796610169
ASOS,12,ASOS12,2,1,1,2,1,3,9,14,13,10,56,430,7.678571429
ASOS,13,ASOS13,6,0,0,2,2,13,18,4,1,6,52,329,6.326923077
ASOS,14,ASOS14,0,1,0,0,3,4,10,21,7,6,52,402,7.730769231
ASOS,15,ASOS15,3,0,0,1,2,8,9,14,5,8,50,365,7.3
ASOS,16,ASOS16,2,0,0,0,5,4,12,14,10,7,54,407,7.537037037
ASOS,17,ASOS17,0,0,1,2,6,12,11,9,0,5,46,312,6.782608696
ASOS,18,ASOS18,1,0,1,1,2,11,14,9,2,4,45,312,6.933333333
ASOS,19,ASOS19,1,0,0,1,0,4,1,7,23,15,52,449,8.634615385
ASOS,20,ASOS20,1,0,0,0,0,4,3,18,13,10,49,407,8.306122449
ASOS,21,ASOS21,0,0,0,0,1,2,9,18,9,6,45,365,8.111111111
ASOS,22,ASOS22,2,0,0,0,1,0,1,8,24,13,49,424,8.653061224
ASOS,23,ASOS23,1,0,0,0,2,7,15,13,2,5,45,330,7.333333333
ASOS,24,ASOS24,0,0,0,0,2,4,11,17,4,7,45,353,7.844444444
ASOS,25,ASOS25,1,0,0,0,0,0,6,12,11,25,55,488,8.872727273
ASOS,26,ASOS26,0,1,0,0,1,4,12,12,12,5,47,369,7.85106383
ASOS,27,ASOS27,1,0,0,1,1,2,11,15,8,6,45,351,7.8
ASOS,28,ASOS28,0,0,1,0,1,0,4,4,15,34,59,543,9.203389831
ASOS,29,ASOS29,1,0,0,1,2,2,7,13,11,13,50,409,8.18
ASOS,30,ASOS30,2,0,0,1,3,4,12,16,4,5,47,343,7.29787234
ASOS,31,ASOS31,2,1,0,0,2,6,17,9,4,8,49,357,7.285714286
ASOS,32,ASOS32,3,0,0,0,1,2,7,17,10,10,50,395,7.9
ASOS,33,ASOS33,1,0,1,1,1,7,21,7,2,5,46,326,7.086956522
ASOS,34,ASOS34,1,1,0,0,0,2,3,10,18,14,49,418,8.530612245
ASOS,35,ASOS35,2,1,0,0,0,2,3,10,16,17,51,431,8.450980392
ASOS,36,ASOS36,1,1,0,0,3,8,17,6,4,4,44,309,7.022727273
ASOS,37,ASOS37,0,0,0,0,2,1,4,15,9,14,45,385,8.555555556
ASOS,38,ASOS38,1,0,0,1,0,0,3,6,17,21,49,437,8.918367347
ASOS,39,ASOS39,1,0,0,0,0,2,6,15,9,13,46,386,8.391304348
ASOS,40,ASOS40,2,0,0,1,2,5,13,11,3,6,43,312,7.255813953
ASOS,41,ASOS41,1,2,1,0,1,4,13,20,4,8,54,404,7.481481481
ASOS,42,ASOS42,2,0,1,0,1,0,6,15,17,13,55,455,8.272727273
ASOS,43,ASOS43,1,0,0,0,0,5,6,13,12,15,52,435,8.365384615
ASOS,44,ASOS44,2,1,2,0,0,3,12,19,8,6,53,396,7.471698113
ASOS,45,ASOS45,2,0,1,1,2,5,6,12,22,19,70,575,8.214285714
ASOS,46,ASOS46,2,1,1,1,3,9,14,13,5,14,63,467,7.412698413
ASOS,47,ASOS47,0,0,1,1,1,1,9,25,11,14,63,520,8.253968254
ASOS,48,ASOS48,2,0,1,3,2,8,12,12,12,11,63,473,7.507936508
ASOS,49,ASOS49,1,1,0,1,1,4,19,17,9,15,68,536,7.882352941
ASOS,50,ASOS50,3,1,1,0,2,4,9,18,12,20,70,557,7.957142857
ASOS,51,ASOS51,5,0,1,1,4,5,12,12,12,14,66,490,7.424242424
ASOS,52,ASOS52,3,0,1,2,0,2,1,9,9,67,94,856,9.106382979
ASOS,53,ASOS53,2,0,0,3,3,3,2,19,22,20,74,611,8.256756757
ASOS,54,ASOS54,0,1,2,0,1,2,6,23,15,20,70,586,8.371428571
ASOS,55,ASOS55,2,0,0,1,2,4,16,15,7,14,61,475,7.786885246
ASOS,56,ASOS56,1,0,1,0,2,2,2,15,27,14,64,543,8.484375
ASOS,57,ASOS57,2,0,2,1,0,3,8,14,23,17,70,575,8.214285714
ASOS,58,ASOS58,2,0,0,0,1,4,5,18,15,21,66,555,8.409090909
ASOS,59,ASOS59,1,1,0,0,5,11,13,9,9,12,61,458,7.508196721
ASOS,60,ASOS60,2,1,0,0,2,2,10,21,6,16,60,478,7.966666667
ASOS,61,ASOS61,1,0,0,1,2,2,2,8,11,56,83,764,9.204819277
ASOS,62,ASOS62,3,1,3,1,0,0,6,13,17,25,69,567,8.217391304
ASOS,63,ASOS63,2,1,1,4,2,3,2,19,18,14,66,519,7.863636364
ASOS,64,ASOS64,0,1,1,1,0,0,15,19,12,13,62,504,8.129032258
ASOS,65,ASOS65,1,0,1,1,1,2,11,20,17,18,72,595,8.263888889
ASOS,66,ASOS66,2,1,2,3,4,3,12,20,8,15,70,526,7.514285714
ASOS,67,ASOS67,2,1,0,2,3,2,5,16,16,22,69,566,8.202898551
ASOS,68,ASOS68,5,0,0,4,1,2,10,14,17,13,66,503,7.621212121
ASOS,69,ASOS69,3,0,2,1,2,5,13,13,15,14,68,523,7.691176471
ASOS,70,ASOS70,1,0,0,0,2,6,11,22,13,15,70,567,8.1
ASOS,71,ASOS71,2,0,1,0,0,1,1,5,11,54,75,697,9.293333333
ASOS,72,ASOS72,1,0,0,2,1,5,5,19,13,17,63,518,8.222222222
ASOS,73,ASOS73,4,1,2,2,1,1,10,29,26,39,115,957,8.32173913
ASOS,74,ASOS74,0,0,1,0,1,4,9,20,36,42,113,999,8.840707965
ASOS,75,ASOS75,3,0,2,0,4,1,5,21,32,45,113,976,8.637168142
ASOS,76,ASOS76,1,0,0,2,1,9,26,31,13,19,102,805,7.892156863
ASOS,77,ASOS77,3,0,1,1,1,4,15,26,25,29,105,867,8.257142857
ASOS,78,ASOS78,3,1,0,1,0,1,6,9,22,79,122,1117,9.155737705
ASOS,79,ASOS79,1,1,1,1,1,4,16,35,20,22,102,831,8.147058824
ASOS,80,ASOS80,4,0,0,0,1,4,6,19,32,41,107,925,8.644859813
ASOS,81,ASOS81,1,1,1,1,0,1,6,14,26,75,126,1154,9.158730159
ASOS,82,ASOS82,1,0,0,1,2,3,12,11,36,59,125,1119,8.952
AFFC,1,AFFC1,1,2,0,0,3,2,19,27,23,14,91,728,8
AFFC,2,AFFC2,5,0,0,3,4,8,28,28,7,7,90,638,7.088888889
AFFC,3,AFFC3,3,0,1,1,1,10,13,35,15,9,88,671,7.625
AFFC,4,AFFC4,2,1,1,1,1,8,14,29,17,7,81,617,7.617283951
AFFC,5,AFFC5,1,2,2,1,14,14,21,17,3,7,82,549,6.695121951
AFFC,6,AFFC6,1,0,0,1,1,5,19,19,9,7,62,476,7.677419355
AFFC,7,AFFC7,3,3,0,0,1,3,12,25,11,8,66,495,7.5
AFFC,8,AFFC8,2,1,0,0,2,3,9,24,9,11,61,478,7.836065574
AFFC,9,AFFC9,1,2,1,1,0,5,9,24,5,7,55,412,7.490909091
